DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,2.75,Bearish,1,1
High,High,Very Low,7.978571428571423,Bullish,14,14
High,Low,Low,10.366666666666665,Bearish,3,3
High,Low,Medium,8.968181818181819,Bearish,11,11
High,Medium,Low,7.1699999999999875,Bearish,5,5
High,Medium,Medium,9.25,Bearish,1,1
High,Medium,Very Low,5.86249999999999,Bearish,4,4
High,Very High,High,7.787499999999998,Bearish,4,4
High,Very High,Low,12.333333333333334,Bearish,3,3
High,Very High,Medium,8.316666666666663,Bullish,3,3
High,Very High,Very High,8.136363636363633,Bearish,11,11
High,Very High,Very Low,2.3499999999999943,Bearish,1,1
High,Very Low,High,6.358333333333334,Bullish,6,6
High,Very Low,Medium,8.257142857142854,Bullish,7,7
High,Very Low,Very Low,6.400000000000006,Bearish,1,1
Low,High,High,7.6333333333333355,Bearish,3,3
Low,High,Very High,8.200000000000017,Bearish,1,1
Low,Low,Low,5.731249999999999,Bullish,8,8
Low,Low,Very Low,6.5970588235294105,Bearish,17,17
Low,Medium,High,7.724999999999994,Bullish,2,2
Low,Medium,Low,15.600000000000023,Bearish,1,1
Low,Medium,Very Low,4.800000000000011,Bullish,1,1
Low,Very High,Very High,5.399999999999999,Bearish,4,4
Low,Very Low,High,5.380000000000001,Bearish,5,5
Low,Very Low,Low,8.29090909090909,Bearish,11,11
Low,Very Low,Medium,7.491176470588235,Bullish,17,17
Low,Very Low,Very Low,6.839999999999998,Bullish,5,5
Medium,High,High,5.424999999999983,Bullish,2,2
Medium,High,Low,2.9000000000000057,Bearish,1,1
Medium,High,Very Low,6.7250000000000085,Bullish,2,2
Medium,Low,Low,7.456249999999998,Bearish,16,16
Medium,Low,Medium,17.55000000000001,Bearish,1,1
Medium,Low,Very Low,5.291666666666669,Bullish,12,12
Medium,Medium,Low,6.600000000000023,Bearish,1,1
Medium,Medium,Very Low,6.365,Bearish,10,10
Medium,Very High,Very High,11.699999999999996,Bearish,4,4
Medium,Very Low,High,6.816666666666663,Bearish,3,3
Medium,Very Low,Low,6.699999999999989,Bearish,1,1
Medium,Very Low,Medium,6.159523809523808,Bearish,21,21
Medium,Very Low,Very Low,4.099999999999994,Bearish,1,1
Very High,High,High,22.05000000000001,Bearish,1,1
Very High,High,Low,6.625,Bullish,2,2
Very High,High,Medium,10.838888888888867,Bullish,9,9
Very High,High,Very Low,7.699999999999989,Bullish,1,1
Very High,Low,High,10.022222222222224,Bullish,9,9
Very High,Low,Medium,7.916666666666653,Bullish,6,6
Very High,Medium,High,8.699999999999994,Bearish,6,6
Very High,Medium,Medium,10.350000000000005,Bearish,8,8
Very High,Very High,High,10.5,Bearish,2,2
Very High,Very High,Medium,5.0,Bullish,2,2
Very High,Very High,Very High,8.1,Bullish,5,5
Very High,Very High,Very Low,10.26250000000001,Bullish,4,4
Very High,Very Low,High,7.344444444444439,Bearish,18,18
Very High,Very Low,Medium,8.900000000000006,Bearish,1,1
Very High,Very Low,Very Low,3.0,Bullish,1,1
Very Low,High,Very High,7.000000000000014,Bullish,2,2
Very Low,Low,High,7.158333333333327,Bullish,6,6
Very Low,Low,Low,6.350000000000001,Bearish,4,4
Very Low,Low,Medium,6.649999999999987,Bearish,3,3
Very Low,Low,Very High,8.912500000000009,Bearish,4,4
Very Low,Low,Very Low,6.7250000000000085,Bullish,2,2
Very Low,Medium,Very High,6.800000000000004,Bullish,4,4
Very Low,Very High,Very High,10.800000000000011,Bearish,1,1
Very Low,Very Low,High,5.4375,Bearish,4,4
Very Low,Very Low,Low,6.335714285714289,Bearish,7,7
Very Low,Very Low,Medium,5.15,Bullish,16,16
Very Low,Very Low,Very High,8.55,Bearish,8,8
Very Low,Very Low,Very Low,6.166666666666667,Bearish,15,15
